Time,Load,pv,PV,wind
2025-01-02 08:30:00+00:00,4.669,2500.0,2500.0,769374.8129204923
2025-01-02 08:45:00+00:00,4.905,2500.0,2500.0,771298.1608846016
2025-01-02 09:00:00+00:00,5.159,2500.0,2500.0,892296.8425073266
2025-01-02 09:15:00+00:00,5.486,2500.0,2500.0,795253.8903778791
2025-01-02 09:30:00+00:00,5.867,2500.0,2500.0,705760.7966747136
2025-01-02 09:45:00+00:00,6.049,2238.551382221459,2238.5513822217,418019.3292380875
2025-01-02 10:00:00+00:00,6.321,746.1310604820046,746.1310604812205,443740.51992230123
2025-01-02 10:15:00+00:00,6.485,-0.75,-0.75,579365.258078069
2025-01-02 10:30:00+00:00,6.775,-0.75,-0.75,767623.7050725715
2025-01-02 10:45:00+00:00,7.03,-0.75,-0.75,743481.3821200898
2025-01-02 11:00:00+00:00,7.139,-0.75,-0.75,651533.8667612318
2025-01-02 11:15:00+00:00,7.339,-0.75,-0.75,721578.1806780638
2025-01-02 11:30:00+00:00,7.357,-0.75,-0.75,900722.2548575685
2025-01-02 11:45:00+00:00,7.429,-0.75,-0.75,1067522.454043533
2025-01-02 12:00:00+00:00,7.393,-0.75,-0.75,1123843.2481464068
2025-01-02 12:15:00+00:00,7.321,-0.75,-0.75,1064508.2520102267
2025-01-02 12:30:00+00:00,7.229,-0.75,-0.75,1105544.4596922395
2025-01-02 12:45:00+00:00,7.139,-0.75,-0.75,1272830.948649834
2025-01-02 13:00:00+00:00,7.012,-0.75,-0.75,1303260.0358432108
2025-01-02 13:15:00+00:00,6.775,-0.75,-0.75,1555878.8729203108
2025-01-02 13:30:00+00:00,6.557,-0.75,-0.75,1830199.9646372152
2025-01-02 13:45:00+00:00,6.249,512.5833612481538,512.5833612476957,2296568.78590478
2025-01-02 14:00:00+00:00,6.049,1682.0312257978344,1682.031225790491,2854023.9219502565
2025-01-02 14:15:00+00:00,5.813,2500.0,2500.0,3378970.6473612343
2025-01-02 14:30:00+00:00,5.54,2500.0,2500.0,4074731.0083706724
2025-01-02 14:45:00+00:00,5.213,2500.0,2500.0,5107385.859974149
2025-01-02 15:00:00+00:00,4.85,2500.0,2500.0,6486424.351548244
2025-01-02 15:15:00+00:00,4.63,2500.0,2500.0,6958362.2699059155
2025-01-02 15:30:00+00:00,4.232,2500.0,2500.0,6239393.749351939
2025-01-02 15:45:00+00:00,4.16,2297.048782151326,2297.04878215164,5912443.339712722
2025-01-02 16:00:00+00:00,4.414,807.9356847798556,807.935684777911,5716147.020629401
2025-01-02 16:15:00+00:00,4.959,-0.75,-0.75,6134163.017612681
2025-01-02 16:30:00+00:00,5.703,-0.75,-0.75,7534945.627743709
2025-01-02 16:45:00+00:00,6.212,-0.75,-0.75,8141154.285565998
2025-01-02 17:00:00+00:00,7.012,-0.75,-0.75,7597181.723059976
2025-01-02 17:15:00+00:00,7.938,-0.75,-0.75,5737278.729884334
2025-01-02 17:30:00+00:00,8.628,-0.75,-0.75,3856976.441478814
2025-01-02 17:45:00+00:00,11.88,-0.75,-0.75,1887555.9233281305
2025-01-02 18:00:00+00:00,12.007,-0.75,-0.75,753787.0824053941
2025-01-02 18:15:00+00:00,12.479,-0.75,-0.75,128576.3535553751
2025-01-02 18:30:00+00:00,12.461,-0.75,-0.75,42369.21851328049
2025-01-02 18:45:00+00:00,12.497,-0.75,-0.75,686297.6635453642
2025-01-02 19:00:00+00:00,12.37,-0.75,-0.75,1082248.9839776864
2025-01-02 19:15:00+00:00,12.279,-0.75,-0.75,2270158.6347558107
2025-01-02 19:30:00+00:00,12.189,-0.75,-0.75,3604795.3813636927
2025-01-02 19:45:00+00:00,12.043,533.5205413856008,533.5205413842297,4743715.207984237
2025-01-02 20:00:00+00:00,11.898,1710.5603911090177,1710.5603911151984,6986839.302449152
2025-01-02 20:15:00+00:00,11.698,2500.0,2500.0,12653485.868451728
2025-01-02 20:30:00+00:00,11.48,2500.0,2500.0,16508036.663636563
2025-01-02 20:45:00+00:00,7.684,2500.0,2500.0,22393964.80047753
2025-01-02 21:00:00+00:00,7.411,2500.0,2500.0,33966132.868991904
2025-01-02 21:15:00+00:00,7.121,2500.0,2500.0,43969582.17165075
2025-01-02 21:30:00+00:00,6.866,2500.0,2500.0,48975777.03203961
2025-01-02 21:45:00+00:00,6.594,2172.4577196682585,2172.4577196411633,44544092.66753472
2025-01-02 22:00:00+00:00,6.358,697.9594992724496,697.959499271541,40598304.847470306
2025-01-02 22:15:00+00:00,6.121,-0.75,-0.75,46467745.64018352
2025-01-02 22:30:00+00:00,5.922,-0.75,-0.75,46758059.94435572
2025-01-02 22:45:00+00:00,5.813,-0.75,-0.75,48623294.810930476
2025-01-02 23:00:00+00:00,5.595,-0.75,-0.75,49529959.60587749
2025-01-02 23:15:00+00:00,5.45,-0.75,-0.75,53678571.43351839
2025-01-02 23:30:00+00:00,5.395,-0.75,-0.75,58285391.70116565
2025-01-02 23:45:00+00:00,5.359,-0.75,-0.75,60310448.34376311
2025-01-03 00:00:00+00:00,5.286,-0.75,-0.75,62032505.02542005
2025-01-03 00:15:00+00:00,5.213,-0.75,-0.75,62996507.69682527
2025-01-03 00:30:00+00:00,5.159,-0.75,-0.75,63641905.76552822
2025-01-03 00:45:00+00:00,5.159,-0.75,-0.75,64414725.63685343
2025-01-03 01:00:00+00:00,5.032,-0.75,-0.75,64800000.0
2025-01-03 01:15:00+00:00,5.068,-0.75,-0.75,64800000.0
2025-01-03 01:30:00+00:00,5.05,-0.75,-0.75,64800000.0
2025-01-03 01:45:00+00:00,5.032,417.38151576397513,417.3815157638319,64800000.0
2025-01-03 02:00:00+00:00,5.032,1515.289006168286,1515.2890061626372,64800000.0
2025-01-03 02:15:00+00:00,5.05,2500.0,2500.0,64800000.0
2025-01-03 02:30:00+00:00,5.05,2500.0,2500.0,64800000.0
2025-01-03 02:45:00+00:00,5.032,2500.0,2500.0,64265056.152556755
2025-01-03 03:00:00+00:00,4.977,2500.0,2500.0,63782819.71058529
2025-01-03 03:15:00+00:00,5.013,2500.0,2500.0,62579399.54878774
2025-01-03 03:30:00+00:00,5.05,2500.0,2500.0,61453864.35508333
2025-01-03 03:45:00+00:00,5.067,1893.5829588779472,1893.582958880152,61208981.96989171
2025-01-03 04:00:00+00:00,5.05,692.7218240683942,692.7218240698795,60866826.979082406
2025-01-03 04:15:00+00:00,5.086,-0.75,-0.75,60118013.07395102
2025-01-03 04:30:00+00:00,5.141,-0.75,-0.75,56499929.12673666
